# dr3_source_id	rv	rv_err
4418123971384344832	-56.76	2.4
4418151463471047424	-53.06	0.82
4418156892309990784	-58.64	2.0
4418161221636772992	-57.04	1.15
4418262754663577856	-58.05	1.7
4418265022406118784	-44.77	1.04
4418294430046519936	-56.3	1.39
4418305219004364416	-69.85	3.9
4418306490314700288	-54.12	1.3
4418310274181701632	-56.68	1.04
4418316080977455616	211.39	1.14
4418687986489979136	-57.6	2.55
4418688536245813888	-58.01	2.94
4418720460738494080	-57.59	0.76
4418721555954496128	-57.72	1.0
4418722792905072512	-54.93	0.66
4418724923208864128	-60.28	1.54
4418725472964680064	-52.76	0.99
4418726061375864320	-58.16	0.75
4418731902531386112	-55.52	1.28
4418731902531386240	-42.96	0.58
4418732039970339968	-55.91	0.58
4418732104394214272	-56.44	0.76
4418732143049556096	-57.55	0.75
4418910951128053760	-41.78	1.44
4418913665547290112	-54.79	0.59
4418913695611185920	-57.62	3.59
4418913901769619200	-55.82	2.46
4418913906065459840	-56.46	0.58
4418914043504415104	-55.85	0.84
4418914730699187328	-53.78	0.58
4418914833778403712	-55.48	0.61
4418914936857620224	-55.31	0.58
4418915001281293440	-60.14	2.64
4418915104360532864	-56.75	1.05
4418919639845933568	-53.57	1.59
4418919639845936000	-79.59	4.62
4418919712861243264	-54.54	0.58
4418919712861244416	-55.41	1.16
4418919914723874560	-53.21	1.68
4418919949083630080	-56.15	2.94
4418919953379415808	-55.32	0.58
4418920017803112832	-56.58	0.89
4418920120882353280	-59.53	1.38
4418920159537849856	-58.9	0.77
4418920636278474880	-55.59	1.32
4418920739357629184	-70.17	1.03
4418920773717375872	-50.68	1.34
4418920842436863744	-57.08	1.34
4418920846732620416	-53.91	0.76
4418921495271963136	-54.7	2.76
4418925858959184128	-52.55	1.14
4418926138132347008	-54.78	0.97
4418938129681045248	83.11	1.07
4419025300337195264	-52.61	1.8
4419053848983798400	-43.39	4.37
4419055055870634368	-54.82	0.81
4419055949223837824	26.9	0.62
4419059797514551168	-54.25	1.07
4419070208514387072	-56.01	1.71
4419078111255104384	-61.22	4.32
4419079928026104448	-0.28	1.27
4419080958818284160	-243.56	0.74
4419082401927264256	-52.32	1.35
4419086254513120768	-54.96	1.69
4419089759206363776	-44.62	1.32
4420527233220736128	-2.78	2.18
4420552418908966912	-59.2	2.9
4420553479766045824	-62.16	0.98
4420561485585112064	-240.99	3.25
4420571965304335104	-274.77	4.93
4420577016185704320	-51.66	2.13
4420593306997575168	-17.3	0.61
4420603163946657792	-49.23	1.57
4420603271321687552	-51.04	1.25
4420604989308613248	-50.45	0.58
4420607768151633408	-48.15	1.75
4420608700160449280	-53.27	1.39
4420629036830807296	-220.25	3.71
4420709855230125952	-155.86	1.17
4420717139494655360	-48.75	2.5
4420734662961249280	-55.37	1.73
4420740912138482944	-49.89	1.74
4420741191311512704	-62.81	0.62
4420749884325455616	-3.45	0.7
4420750739023778432	-53.37	1.75
4420942432004721408	-53.68	2.91
4420945936697606144	98.68	1.26
4420970057233967360	-58.02	1.46
4420972221898887936	-247.68	2.88
4420979300003647488	36.57	2.48
4420981464667196800	249.62	1.54
4420984939295809024	-54.0	3.24
4421075644710040960	-49.59	1.65
4421084582536744832	-64.04	1.26
4421086266163973376	-54.22	0.85
4421128077670137472	-47.55	3.94
4421129726937584512	35.77	3.45
4421130036175237632	-8.19	3.39
4421130487147097472	-54.83	2.74
4421130723370022656	-281.78	2.36
4421137904555364992	-54.5	2.51
4421166320058408064	22.04	2.09
4424712176338855168	-53.06	2.87
4424730421359839872	-48.5	2.16
4424743825954076032	-50.22	3.22
4424745269063081088	33.3	1.15
4424754374393795072	100.19	2.44
4426217893090213248	26.28	0.59
4426224692022094208	231.82	1.56
4426225520952123520	-58.19	0.7
4426348219581208960	-50.13	2.5
4426667387188891008	-47.35	0.78
4426680989347901056	-94.89	4.43
4427081628192616576	-51.05	1.06
4427099426537128832	25.74	3.38
4427113032993386112	-32.04	2.18
4427116091010101888	-33.85	2.97
4427119350890013312	-54.28	3.8
4427226351411147648	-4.28	4.28
4427653614757370624	-131.46	2.32
4450090352114918784	-95.39	0.96
6339065755426354048	-68.51	3.21
6339488414567779328	14.22	4.33
6339618500537272448	-121.45	4.61
6339631114857033856	-62.94	0.69
6339633687541738880	-185.13	2.47
6339635100586674176	35.85	2.91
6339645953968373376	-59.48	1.11
6339651829483748736	-88.87	3.34
