# star id	magnitude
0	19.30
1	21.81
2	18.99
3	24.42
4	17.58
5	16.84
6	17.03
7	18.37
8	17.96
9	24.43
10	19.44
11	17.56
12	22.45
13	18.94
14	17.75
15	21.92
16	21.38
17	19.23
18	23.12
19	20.35
20	23.61
21	21.12
22	23.47
23	20.31
24	17.78
25	25.66
26	19.02
27	19.69
28	18.73
29	19.68
30	20.58
31	20.50
32	21.46
33	24.03
34	19.85
35	17.76
36	17.85
37	18.79
38	16.99
39	21.81
40	19.11
41	19.47
42	20.08
43	17.47
44	18.43
45	21.49
46	21.37
47	19.21
48	24.07
49	17.63
50	19.40
51	19.63
52	15.19
53	24.38
54	20.83
55	18.09
56	24.66
57	21.30
58	20.97
59	18.90
60	20.30
61	17.24
62	21.75
63	19.35
64	20.36
65	22.65
66	20.67
67	20.62
68	20.65
69	18.67
70	21.84
71	23.44
72	21.67
73	21.94
74	18.40
75	18.42
76	17.39
77	22.72
78	19.58
79	23.10
80	18.57
81	19.23
82	20.28
83	22.02
84	20.21
85	20.51
86	20.12
87	20.44
88	17.96
89	20.25
90	19.71
91	19.97
92	21.10
93	18.76
94	19.92
95	19.50
96	20.94
97	21.73
98	18.26
99	21.30
